t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,er_L,et_L
3.26000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,2.965268,-3.802173,2.956111,-0.091711,-1.875193
3.28000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,2.996170,-3.810486,2.956111,-0.091711,-1.907193
3.30000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,3.027136,-3.818551,2.956111,-0.091711,-1.939193
3.32000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,3.058167,-3.826369,2.956111,-0.091711,-1.971193
3.34000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,3.089258,-3.833938,2.956111,-0.091711,-2.003193
3.36000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,3.120410,-3.841258,2.956111,-0.091711,-2.035193
3.38000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,3.151619,-3.848328,2.956111,-0.091711,-2.067193
3.40000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,3.182883,-3.855149,2.956111,-0.091711,-2.099193
3.42000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,3.214202,-3.861720,2.956111,-0.091711,-2.131193
3.44000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.344914,0.404534,3.245571,-3.868039,2.956111,-0.091711,-2.163193
3.46000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.245316,0.393837,3.276990,-3.874108,2.956111,-0.091711,-2.195193
3.48000,1.397267,-2.841420,2.958562,1.152841,-1.118886,-0.003137,-0.245316,0.393837,3.308457,-3.879925,2.956111,-0.091711,-2.227193
3.50000,1.700310,-3.103891,2.957743,1.259275,-0.999238,-0.002577,-0.245316,0.393837,3.339970,-3.885490,2.956111,-0.079914,-1.849495
3.52000,1.700310,-3.103891,2.957743,1.259275,-0.999238,-0.002577,-0.245316,0.393837,3.371525,-3.890802,2.956111,-0.079914,-1.881495
3.54000,1.700310,-3.103891,2.957743,1.259275,-0.999238,-0.002577,-0.245316,0.393837,3.403123,-3.895863,2.956111,-0.079914,-1.913495
3.56000,1.700310,-3.103891,2.957743,1.259275,-0.999238,-0.002577,-0.245316,0.393837,3.434759,-3.900670,2.956111,-0.079914,-1.945495
